1,""MANAGERS, DIRECTORS AND SENIOR OFFICIALS",3486
522,"Metal Machining, Fitting and Instrument Making Trades",322
5221,"Metal machining setters and setter-operators",46
5222,"Tool makers, tool fitters and markers-out",12
5223,"Metal working production and maintenance fitters",214
5224,"Precision instrument makers and repairers",31
5225,"Air-conditioning and refrigeration engineers",18
523,"Vehicle Trades",242
5231,"Vehicle technicians, mechanics and electricians",160
5232,"Vehicle body builders and repairers",30
5234,"Vehicle paint technicians",11
5235,"Aircraft maintenance and related trades",19
5236,"Boat and ship builders and repairers",14
5237,"Rail and rolling stock builders and repairers",9
524,"Electrical and Electronic Trades",465
5241,"Electricians and electrical fitters",265
5242,"Telecommunications engineers",64
5244,"TV, video and audio engineers",9
5245,"IT engineers",35
5249,"Electrical and electronic trades n.e.c.4",91
525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34
5250,"Skilled metal, electrical and electronic trades supervisors",34
531,"Construction and Building Trades",865
5311,"Steel erectors",8
5312,"Bricklayers and masons",97
5313,"Roofers, roof tilers and slaters",39
5314,"Plumbers and heating and ventilating engineers",212
5315,"Carpenters and joiners",226
5316,"Glaziers, window fabricators and fitters",36
5319,"Construction and building trades n.e.c.4",246
532,"Building Finishing Trades",186
5321,"Plasterers",51
5322,"Floorers and wall tilers",32
5323,"Painters and decorators",103
533,"Construction and Building Trades Supervisors",47
5330,"Construction and building trades supervisors",47
541,"Textiles and Garments Trades",50
5411,"Weavers and knitters",0
5412,"Upholsterers",21
5413,"Footwear and leather working trades",5
5414,"Tailors and dressmakers",13
5419,"Textiles, garments and related trades n.e.c.4",8
542,"Printing Trades",55
5421,"Pre-press technicians",0
5422,"Printers",34
5423,"Print finishing and binding workers",18
543,"Food Preparation and Hospitality Trades",458
5431,"Butchers",41
5432,"Bakers and flour confectioners",30
5433,"Fishmongers and poultry dressers",7
5434,"Chefs",237
5435,"Cooks",65
5436,"Catering and bar managers",80
544,"Other Skilled Trades",95
5441,"Glass and ceramics makers, decorators and finishers",7
5442,"Furniture makers and other craft woodworkers",32
5443,"Florists",14
5449,"Other skilled trades n.e.c.4",42
6,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",2959
612,"Childcare and Related Personal Services",852
6121,"Nursery nurses and assistants",214
6122,"Childminders and related occupations",127
6123,"Playworkers",42
6125,"Teaching assistants",299
6126,"Educational support assistants",171
613,"Animal Care and Control Services",106
6131,"Veterinary nurses",23
6132,"Pest control officers",6
6139,"Animal care services occupations n.e.c.4",77
614,"Caring Personal Services",1335
