1. 1937,Snow White and the Seven Dwarfs (G)
302,1994,Angels in the Outfield (PG)
303,1994,In the Army Now (Hollywood Pictures) (PG)
304,1994,Color of Night (Hollywood Pictures) (R)
305,1994,It’s Pat (Touchstone) (PG-13)
306,1994,Camp Nowhere (Hollywood Pictures) (PG)
307,1994,A Simple Twist of Fate (Touchstone) (PG-13)
308,1994,Quiz Show (Hollywood) (PG-13)
309,1994,Terminal Velocity (Hollywood Pictures) (PG-13)
310,1994,Ed Wood (Touchstone) (R)
311,1994,Robert A. Heinlein’s The Puppet Masters (Hollywood Pictures) (R)
312,1994,Squanto: A Warrior’s Tale (PG)
313,1994,The Santa Clause (PG)
314,1994,A Low Down Dirty Shame (Hollywood Pictures) (R)
315,1994,Rudyard Kipling’s The Jungle Book (PG)
316,1995,Houseguest (Hollywood Pictures) (PG)
317,1995,Bad Company (Touchstone) (R)
318,1995,Miami Rhapsody (Hollywood Pictures) (PG-13)
319,1995,The Jerky Boys (Touchstone) (R)
320,1995,Heavyweights (PG)
321,1995,Man of the House (PG)
322,1995,Roommates (Hollywood Pictures) (PG)
323,1995,Tall Tale (PG)
324,1995,Funny Bones (Hollywood Pictures) (R)
325,1995,Jefferson in Paris (Touchstone) (PG-13)
326,1995,A Goofy Movie (G)
327,1995,While You Were Sleeping (Hollywood Pictures) (PG)
328,1995,A Pyromaniac’s Love Story (Hollywood Pictures) (PG)
329,1995,Crimson Tide (Hollywood Pictures) (R)
330,1995,Mad Love (Touchstone) (PG-13)
331,1995,Pocahontas (G)
332,1995,Judge Dredd (Hollywood Pictures) (R)
333,1995,Operation Dumbo Drop (PG)
334,1995,Dangerous Minds (Hollywood Pictures) (R)
335,1995,A Kid in King Arthur’s Court (PG)
336,1995,The Tie that Binds (Hollywood Pictures) (R)
337,1995,Unstrung Heroes (Hollywood Pictures) (PG)
338,1995,The Big Green (PG)
339,1995,Dead Presidents (Hollywood Pictures) (R)
340,1995,Feast of July (Touchstone) (R)
341,1995,The Scarlet Letter (Hollywood Pictures) (R)
342,1995,Frank and Ollie (PG)
343,1995,Powder (Hollywood Pictures) (PG-13)
344,1995,Toy Story (G)
345,1995,Father of the Bride, Part II (Touchstone)(PG)
346,1995,Nixon (Hollywood Pictures)(R)
347,1995,Tom and Huck (PG)
348,1996,Mr. Holland’s Opus (Hollywood Pictures)(PG)
349,1996,White Squall (Hollywood Pictures)(PG-13)
350,1996,Mr. Wrong (Touchstone)(PG-13)
351,1996,Muppet Treasure Island (G)
352,1996,Before and After (Hollywood Pictures)(PG-13)
353,1996,Up Close and Personal (Touchstone)(PG-13)
354,1996,Homeward Bound II: Lost in San Francisco (G)
355,1996,Two Much (Touchstone)(PG-13)
356,1996,Little Indian, Big City (Touchstone)(PG)
357,1996,James and the Giant Peach (PG)
358,1996,Celtic Pride (Hollywood Pictures)(PG-13)
359,1996,Last Dance (Touchstone)(R)
360,1996,Boys (Touchstone)(PG-13)
361,1996,Spy Hard (Hollywood Pictures)(PG-13)
362,1996,Eddie (Hollywood Pictures)(PG-13)
363,1996,The Rock (Hollywood Pictures)(R)
364,1996,The Hunchback of Notre Dame (G)
365,1996,Phenomenon (Touchstone)(PG)
366,1996,Kazaam (Touchstone)(PG)
367,1996,Jack (Hollywood Pictures)(PG-13)
368,1966,First Kid (PG)
369,1966,The Rich Man’s Wife (Hollywood Pictures)(R)
370,1996,D3: The Mighty Ducks (PG)
371,1996,The Associate (Hollywood Pictures)(PG-13)
372,1996,Ransom (Touchstone)(R)
373,1996,The War at Home (Touchstone)(R)
374,1996,101 Dalmatians [live action](G)
375,1996,The Preacher’s Wife (Touchstone)(PG)
376,1997,Evita (Hollywood Pictures)(PG)
377,1997,Metro (Touchstone)(R)
378,1997,Prefontaine (Hollywood Pictures)(PG-13)
379,1997,Shadow Conspiracy (Hollywood Pictures)(R)
380,1997,That Darn Cat [remake](PG)
381,1997,Jungle 2 Jungle (PG)
382,1997,The Sixth Man (Touchstone)(PG-13)
383,1997,Grosse Pointe Blank (Hollywood Pictures)(R)
384,1997,Romy and Michele’s High School Reunion (Touchstone)(R)
385,1997,Gone Fishin’ (Hollywood Pictures)(PG)
386,1997,Con Air (Touchstone)(R)
387,1997,Hercules (G)
388,1997,George of the Jungle (PG)
389,1997,Nothing to Lose (Touchstone)(R)
390,1997,Air Bud (PG)
391,1997,G.I. Jane (Hollywood Pictures)(R)
392,1997,A Thousand Acres (Touchstone)(R))
393,1997,Washington Square (Hollywood Pictures)(PG)
394,1997,RocketMan (PG)
395,1997,Playing God (Touchstone)(R)
396,1997,Flubber (PG)
397,1997,An American Werewolf in Paris (Hollywood Pictures)(R)
398,1997,Mr. Magoo (PG)
399,1998,Kundun (Touchstone)(PG-13)
400,1998,Deep Rising (Hollywood Pictures)(R)
401,1998,Krippendorf’s Tribe (Touchstone)(PG-13)
402,1998,An Alan Smithee Film: Burn, Hollywood, Burn (Hollywood Pictures)(R)
403,1998,Meet the Deedles (PG)
404,1998,He Got Game (Touchstone)(R)
405,1998,The Horse Whisperer (Touchstone)(PG-13)
406,1998,Six Days, Seven Nights (Touchstone)(PG-13)
407,1998,Mulan (G)
408,1998,Armageddon (Touchstone)(PG-13)
409,1998,Jane Austen’s Mafia! (Touchstone)(PG-13)
410,1998,The Parent Trap (PG)
411,1998,Firelight (Hollywood Pictures)(R)
412,1998,Simon Birch (Hollywood Pictures)(PG)
413,1998,Holy Man (Touchstone)(PG)
414,1998,Beloved (Touchstone)(R)
415,1998,The Waterboy (Touchstone)(PG-13)
416,1998,I’ll Be Home for Christmas (PG)
417,1998,Enemy of the State (Touchstone)(R)
418,1998,A Bug’s Life (G)
419,1998,Mighty Joe Young (PG)
420,1999,A Civil Action (Touchstone)(PG-13)
421,1999,Rushmore (Touchstone)(R)
422,1999,My Favorite Martian (PG)
423,1999,The Other Sister (Touchstone)(PG-13)
424,1999,Doug’s 1st Movie (G)
425,1999,10 Things I Hate About You (Touchstone)(PG-13)
426,1999,Endurance (G)
427,1999,Instinct (Touchstone)(R)
428,1999,arzan (G)
